md,rpm,wob,rop
330.0,16.577777777777776,53.266666666666666,126.4
331.0,17.68888888888892,49.9393939393942,221.21212121212173
332.0,17.753535353535355,53.515151515151814,278.06060606062425
333.0,17.69777777777778,50.83333333333333,200.0
334.0,17.33333333333334,49.36363636363655,271.6363636363656
335.0,17.204040404040427,42.06060606060662,227.75757575757814
336.0,17.216161616161624,42.06060606060632,276.9696969696972
337.0,17.222222222222225,50.533333333333516,337.3333333333335
338.0,17.228282828282836,62.909090909091354,326.66666666666737
339.0,17.204040404040427,52.36363636363706,323.03030303030425
340.0,17.21777777777779,56.53333333333357,333.3333333333338
341.0,17.236363636363638,56.39393939393952,337.2121212121212
342.0,17.220202020202034,48.66666666666677,316.2424242424247
343.0,17.212121212121232,48.000000000000334,288.36363636363853
344.0,17.21555555555556,41.266666666667035,218.53333333333927
345.0,17.226262626262624,39.78787878787879,268.24242424242425
346.0,17.228282828282836,52.84848484848499,283.2727272727276
347.0,17.191111111111145,61.26666666666728,303.6000000000007
348.0,17.23434343434344,59.3333333333334,292.4848484848499
349.0,17.218181818181815,72.27272727272741,253.5757575757597
350.0,17.220202020202034,72.48484848484867,270.5454545454561
351.0,17.200000000000024,64.90000000000065,297.333333333334
352.0,17.216161616161624,56.72727272727293,241.93939393939408
353.0,17.224242424242426,50.54545454545461,225.6969696969698
354.0,17.213333333333342,60.400000000000695,260.2666666666811
355.0,17.212121212121232,46.9696969696983,144.6060606060657
356.0,17.220202020202034,37.27272727272812,123.39393939393999
357.0,17.232323232323235,58.636363636363555,236.36363636363834
358.0,17.20444444444446,68.26666666666708,256.13333333333793
359.0,17.171717171717205,61.57575757575854,186.54545454545624
360.0,17.12323232323234,50.60606060606097,213.33333333333746
361.0,17.155555555555555,65.33333333333324,178.66666666666666
362.0,17.204040404040416,82.66666666666666,194.66666666667027
363.0,17.14747474747477,87.2727272727275,254.06060606060694
364.0,17.13939393939395,88.6666666666667,344.12121212121224
365.0,17.14222222222222,90.4,327.8666666666667
366.0,17.06262626262631,91.27272727272747,312.7272727272765
367.0,17.12323232323234,91.69696969696977,327.03030303030494
368.0,17.10666666666669,90.13333333333347,226.1333333333335
369.0,17.133737373737375,88.92424242424244,261.21212121212506
370.0,17.052121212121257,85.75068870523432,212.84848484849053
371.0,17.09898989898993,81.53719008264487,195.63636363637252
372.0,17.173333333333332,69.46666666666695,256.2666666666668
373.0,17.13535353535354,63.5606060606061,213.8181818181819
374.0,17.204040404040416,62.954545454545695,191.63636363636533
375.0,17.120000000000033,48.13333333333455,155.46666666666886
376.0,17.212121212121215,53.277056277056246,123.8787878787898
377.0,16.75757575757579,48.45021645021663,63.272727272727415
378.0,15.169696969697037,47.15151515151552,65.6969696969784
379.0,15.217777777777783,40.06666666666736,115.73333333333383
380.0,16.06464646464648,44.1212121212123,222.66666666666688
381.0,16.258585858585864,61.53939393939418,175.75757575757586
382.0,16.266666666666687,46.106666666667124,180.26666666667057
383.0,16.274747474747496,49.636363636363825,211.63636363637124
384.0,16.258585858585857,49.636363636363676,232.24242424242422
385.0,16.32727272727274,53.00000000000003,215.3939393939445
386.0,16.311111111111135,56.83333333333369,180.26666666666748
387.0,16.323232323232343,52.72727272727306,199.87878787878932
388.0,16.347474747474756,53.51515151515155,175.51515151515292
389.0,16.33777777777779,43.60000000000032,204.80000000000018
390.0,16.33939393939394,41.030303030302996,226.18181818181912
391.0,16.294949494949524,52.78787878787909,248.48484848484938
392.0,16.335353535353537,56.606060606060716,209.69696969699228
393.0,16.328888888888905,52.86666666666711,173.066666666667
394.0,16.323232323232336,46.121212121212245,183.51515151515184
395.0,16.303030303030326,50.000000000000185,196.36363636363674
396.0,16.32444444444445,57.73333333333362,249.6000000000065
397.0,16.33939393939395,56.24242424242461,190.54545454546167
398.0,16.303030303030326,64.54545454545563,212.2424242424246
399.0,16.31515151515153,55.63636363636378,212.8484848484928
400.0,16.34666666666667,52.03333333333329,174.6666666666639
401.0,16.33131313131315,59.87878787878806,134.3030303030312
402.0,16.307070707070732,49.06060606060714,146.30303030303105
403.0,16.328888888888894,40.40000000000005,140.00000000000082
404.0,16.347474747474756,46.12121212121215,165.4545454545456
405.0,16.23434343434347,49.81818181818196,199.75757575757632
406.0,16.24242424242427,51.757575757575864,168.00000000000074
407.0,16.33777777777778,49.866666666666625,188.66666666666876
408.0,16.323232323232343,43.75757575757598,192.2424242424274
409.0,16.31515151515154,51.39393939393958,223.03030303030363
410.0,16.32000000000001,54.76666666666682,192.5333333333336
411.0,16.33131313131314,53.696969696969994,179.2727272727283
412.0,16.323232323232343,54.36363636363681,182.66666666666748
413.0,16.33131313131315,51.63636363636386,185.33333333333482
414.0,16.328888888888894,57.233333333333135,174.00000000000017
415.0,16.31515151515154,44.18181818181922,174.18181818182202
416.0,16.33131313131315,38.78787878787901,206.90909090909136
417.0,16.328888888888905,42.133333333333496,209.06666666666715
418.0,16.32727272727274,40.48484848484875,163.622895622896
419.0,16.315151515151538,45.878787878788174,195.77104377104436
420.0,16.34125874125875,52.12121212121227,232.60606060606105
421.0,16.30905982905983,52.53333333333342,236.13333333333367
422.0,16.323232323232336,54.39393939393947,182.7012987013048
423.0,16.323232323232336,57.999999999999794,95.60173160173049
424.0,16.346666666666675,60.606060606060694,106.40000000000342
425.0,16.323232323232343,56.72176308539962,153.69696969697029
426.0,16.315151515151538,53.24242424242437,153.2121212121221
427.0,16.323232323232336,52.03030303030307,111.27272727272756
428.0,16.346666666666675,47.43333333333358,112.80000000000015
429.0,16.307070707070736,37.515151515151885,138.30303030303165
430.0,16.30707070707073,36.48484848484858,112.72727272727965
431.0,16.34666666666667,45.6,125.2
432.0,16.323232323232343,46.54545454545473,144.48484848484907
433.0,16.307070707070736,57.08417508417528,178.66666666667413
434.0,16.32323232323233,61.94612794612809,127.7575757575719
435.0,16.337777777777784,67.39999999999995,110.93333333333351
436.0,16.31515151515154,59.15151515151535,177.4545454545512
437.0,16.420202020202044,52.787878787879116,209.45454545454825
438.0,16.4,45.60000000000008,190.80000000000015
439.0,16.412121212121235,47.09090909090928,189.2121212121221
440.0,16.41212121212123,43.272727272727415,204.6060606060616
